date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:27:22	24422/24422	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2003:38:11%20GMT	https://boostifythemes.com/demo/html/ven/index.html	C:/My%20Web%20Sites/Technorax/boostifythemes.com/demo/html/ven/index.html	(from )
16:27:23	31/31	---M--	200	added ('OK')	text/plain	date:Wed,%2029%20May%202019%2004:00:04%20GMT	https://boostifythemes.com/robots.txt		(from )
16:27:23	1776/1776	---M-Z	200	added ('OK')	text/css	date:Mon,%2025%20Nov%202019%2009:36:38%20GMT	https://boostifythemes.com/demo/html/ven/assets/styles/css/slick.css	C:/My%20Web%20Sites/Technorax/boostifythemes.com/demo/html/ven/assets/styles/css/slick.css	(from https://boostifythemes.com/demo/html/ven/index.html)
16:27:23	2818/2818	---M-Z	200	added ('OK')	text/css	date:Mon,%2025%20Nov%202019%2009:36:37%20GMT	https://boostifythemes.com/demo/html/ven/assets/styles/css/slick-theme.css	C:/My%20Web%20Sites/Technorax/boostifythemes.com/demo/html/ven/assets/styles/css/slick-theme.css	(from https://boostifythemes.com/demo/html/ven/index.html)
16:27:24	77907/77907	---M-Z	200	added ('OK')	text/css	date:Mon,%2025%20Nov%202019%2009:36:36%20GMT	https://boostifythemes.com/demo/html/ven/assets/styles/css/animate.css	C:/My%20Web%20Sites/Technorax/boostifythemes.com/demo/html/ven/assets/styles/css/animate.css	(from https://boostifythemes.com/demo/html/ven/index.html)
16:27:24	2724/2724	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Nov%202019%2009:36:06%20GMT	https://boostifythemes.com/demo/html/ven/assets/images/logo.png	C:/My%20Web%20Sites/Technorax/boostifythemes.com/demo/html/ven/assets/images/logo.png	(from https://boostifythemes.com/demo/html/ven/index.html)
16:27:25	275428/275428	---M-Z	200	added ('OK')	text/css	date:Mon,%2020%20Jan%202020%2003:38:30%20GMT	https://boostifythemes.com/demo/html/ven/assets/styles/style.css	C:/My%20Web%20Sites/Technorax/boostifythemes.com/demo/html/ven/assets/styles/style.css	(from https://boostifythemes.com/demo/html/ven/index.html)
16:27:25	19862/19862	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2003:38:12%20GMT	https://boostifythemes.com/demo/html/ven/index-2.html	C:/My%20Web%20Sites/Technorax/boostifythemes.com/demo/html/ven/index-2.html	(from https://boostifythemes.com/demo/html/ven/index.html)
16:27:26	19776/19776	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2003:38:13%20GMT	https://boostifythemes.com/demo/html/ven/creative-agency.html	C:/My%20Web%20Sites/Technorax/boostifythemes.com/demo/html/ven/creative-agency.html	(from https://boostifythemes.com/demo/html/ven/index.html)
16:27:26	12760/12760	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2003:38:10%20GMT	https://boostifythemes.com/demo/html/ven/portfolio.html	C:/My%20Web%20Sites/Technorax/boostifythemes.com/demo/html/ven/portfolio.html	(from https://boostifythemes.com/demo/html/ven/index.html)
16:27:26	10057/10057	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2003:38:11%20GMT	https://boostifythemes.com/demo/html/ven/portfolio-single.html	C:/My%20Web%20Sites/Technorax/boostifythemes.com/demo/html/ven/portfolio-single.html	(from https://boostifythemes.com/demo/html/ven/index.html)
16:27:26	19274/19274	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2003:38:08%20GMT	https://boostifythemes.com/demo/html/ven/speaker-1.html	C:/My%20Web%20Sites/Technorax/boostifythemes.com/demo/html/ven/speaker-1.html	(from https://boostifythemes.com/demo/html/ven/index.html)
16:27:27	13650/13650	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2003:38:05%20GMT	https://boostifythemes.com/demo/html/ven/speaker-2.html	C:/My%20Web%20Sites/Technorax/boostifythemes.com/demo/html/ven/speaker-2.html	(from https://boostifythemes.com/demo/html/ven/index.html)
16:27:27	15471/15471	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2003:38:15%20GMT	https://boostifythemes.com/demo/html/ven/blog-single.html	C:/My%20Web%20Sites/Technorax/boostifythemes.com/demo/html/ven/blog-single.html	(from https://boostifythemes.com/demo/html/ven/index.html)
16:27:27	14982/14982	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2003:38:14%20GMT	https://boostifythemes.com/demo/html/ven/blog.html	C:/My%20Web%20Sites/Technorax/boostifythemes.com/demo/html/ven/blog.html	(from https://boostifythemes.com/demo/html/ven/index.html)
16:27:27	13271/13271	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2003:38:08%20GMT	https://boostifythemes.com/demo/html/ven/venue.html	C:/My%20Web%20Sites/Technorax/boostifythemes.com/demo/html/ven/venue.html	(from https://boostifythemes.com/demo/html/ven/index.html)
16:27:28	36959/36959	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2003:38:10%20GMT	https://boostifythemes.com/demo/html/ven/schedule.html	C:/My%20Web%20Sites/Technorax/boostifythemes.com/demo/html/ven/schedule.html	(from https://boostifythemes.com/demo/html/ven/index.html)
